Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Retail estimate (kg/capita/year),Food service estimate (kg/capita/year),Region
Afghanistan,126,82,16,28,Southern Asia
Albania,127,83,16,28,Southern Europe
Algeria,135,91,16,28,Northern Africa
Andorra,123,84,13,26,Southern Europe
Angola,144,100,16,28,Sub-Saharan Africa
Antigua and Barbuda,113,74,13,26,Latin America and the Caribbean
Argentina,116,72,16,28,Latin America and the Caribbean
Armenia,137,93,16,28,Western Asia
Aruba,113,74,13,26,Latin America and the Caribbean
Australia,133,102,9,22,Australia and New Zealand
Austria,76,39,9,28,Western Europe
Azerbaijan,137,93,16,28,Western Asia
Bahamas,113,74,13,26,Latin America and the Caribbean
Bahrain,171,132,13,26,Western Asia
Bangladesh,84,65,16,3,Southern Asia
Barbados,113,74,13,26,Latin America and the Caribbean
Belarus,112,68,16,28,Eastern Europe
Belgium,80,50,10,20,Western Europe
Belize,97,53,16,28,Latin America and the Caribbean
Benin,144,100,16,28,Sub-Saharan Africa
Bermuda,113,74,13,26,Northern America
Bhutan,123,79,16,28,Southern Asia
Bolivia (Plurin. State of),124,80,16,28,Latin America and the Caribbean
Bosnia and Herzegovina,127,83,16,28,Southern Europe
Botswana,136,92,16,28,Sub-Saharan Africa
Brazil,104,60,16,28,Latin America and the Caribbean
British Virgin Islands,113,74,13,26,Latin America and the Caribbean
Brunei Darussalam,119,80,13,26,South-eastern Asia
Bulgaria,112,68,16,28,Eastern Europe
Burkina Faso,147,103,16,28,Sub-Saharan Africa
Burundi,147,103,16,28,Sub-Saharan Africa
Cabo Verde,144,100,16,28,Sub-Saharan Africa
Cambodia,130,86,16,28,South-eastern Asia
Cameroon,144,100,16,28,Sub-Saharan Africa
Canada,118,79,13,26,Northern America
Cayman Islands,113,74,13,26,Latin America and the Caribbean
Central African Republic,147,103,16,28,Sub-Saharan Africa
Chad,147,103,16,28,Sub-Saharan Africa
Chile,113,74,13,26,Latin America and the Caribbean
China,126,64,16,46,Eastern Asia
"China, Hong Kong SAR",110,71,13,26,Eastern Asia
"China, Macao SAR",110,71,13,26,Eastern Asia
Colombia,114,70,16,28,Latin America and the Caribbean
Comoros,144,100,16,28,Sub-Saharan Africa
Congo,144,100,16,28,Sub-Saharan Africa
Costa Rica,116,72,16,28,Latin America and the Caribbean
Côte d’Ivoire,144,100,16,28,Sub-Saharan Africa
Croatia,123,84,13,26,Southern Europe
Cuba,116,72,16,28,Latin America and the Caribbean
Curaçao,113,74,13,26,Latin America and the Caribbean
Cyprus,134,95,13,26,Western Asia
Czechia,109,70,13,26,Eastern Europe
Dem. People's Rep. Korea,125,81,16,28,Eastern Asia
Dem. Rep. of the Congo,147,103,16,28,Sub-Saharan Africa
Denmark,132,81,30,21,Northern Europe
Djibouti,144,100,16,28,Sub-Saharan Africa
Dominica,116,72,16,28,Latin America and the Caribbean
Dominican Republic,116,72,16,28,Latin America and the Caribbean
Ecuador,116,72,16,28,Latin America and the Caribbean
Egypt,135,91,16,28,Northern Africa
El Salvador,124,80,16,28,Latin America and the Caribbean
Equatorial Guinea,136,92,16,28,Sub-Saharan Africa
Eritrea,147,103,16,28,Sub-Saharan Africa
Estonia,100,78,5,17,Northern Europe
Eswatini,144,100,16,28,Sub-Saharan Africa
Ethiopia,136,92,16,28,Sub-Saharan Africa
Faroe Islands,115,76,13,26,Northern Europe
Fiji,120,76,16,28,Melanesia
Finland,101,65,13,23,Northern Europe
France,135,85,26,24,Western Europe
French Polynesia,118,79,13,26,Polynesia
Gabon,136,92,16,28,Sub-Saharan Africa
Gambia,147,103,16,28,Sub-Saharan Africa
Georgia,145,101,16,28,Western Asia
Germany,102,75,6,21,Western Europe
Ghana,128,84,16,28,Sub-Saharan Africa
Gibraltar,123,84,13,26,Southern Europe
Greece,175,142,7,26,Southern Europe
Greenland,113,74,13,26,Northern America
Grenada,116,72,16,28,Latin America and the Caribbean
Guam,118,79,13,26,Micronesia
Guatemala,116,72,16,28,Latin America and the Caribbean
Guinea,147,103,16,28,Sub-Saharan Africa
Guinea-Bissau,147,103,16,28,Sub-Saharan Africa
Guyana,116,72,16,28,Latin America and the Caribbean
Haiti,127,83,16,28,Latin America and the Caribbean
Honduras,124,80,16,28,Latin America and the Caribbean
Hungary,133,94,13,26,Eastern Europe
Iceland,115,76,13,26,Northern Europe
India,94,50,16,28,Southern Asia
Indonesia,121,77,16,28,South-eastern Asia
Iran (Islamic Republic of),115,71,16,28,Southern Asia
Iraq,164,120,16,28,Western Asia
Ireland,124,55,13,56,Northern Europe
Isle of Man,115,76,13,26,Northern Europe
Israel,178,100,51,27,Western Asia
Italy,97,67,4,26,Southern Europe
Jamaica,116,72,16,28,Latin America and the Caribbean
Japan,88,64,9,15,Eastern Asia
Jordan,137,93,16,28,Western Asia
Kazakhstan,120,76,16,28,Central Asia
Kenya,141,99,11,31,Sub-Saharan Africa
Kiribati,135,91,16,28,Micronesia
Kuwait,134,95,13,26,Western Asia
Kyrgyzstan,135,91,16,28,Central Asia
Lao People's Dem. Rep.,130,86,16,28,South-eastern Asia
Latvia,115,76,13,26,Northern Europe
Lebanon,149,105,16,28,Western Asia
Lesotho,144,100,16,28,Sub-Saharan Africa
Liberia,147,103,16,28,Sub-Saharan Africa
Libya,120,76,16,28,Northern Africa
Liechtenstein,111,72,13,26,Western Europe
Lithuania,115,76,13,26,Northern Europe
Luxembourg,117,89,7,21,Western Europe
Madagascar,147,103,16,28,Sub-Saharan Africa
Malawi,147,103,16,28,Sub-Saharan Africa
Malaysia,260,91,79,90,South-eastern Asia
Maldives,115,71,16,28,Southern Asia
Mali,147,103,16,28,Sub-Saharan Africa
Malta,168,129,13,26,Southern Europe
Marshall Islands,120,76,16,28,Micronesia
Mauritania,144,100,16,28,Sub-Saharan Africa
Mauritius,132,93,13,26,Sub-Saharan Africa
Mexico,138,94,16,28,Latin America and the Caribbean
Micronesia (Fed. States of),135,91,16,28,Micronesia
Monaco,111,72,13,26,Western Europe
Mongolia,122,78,16,28,Eastern Asia
Montenegro,127,83,16,28,Southern Europe
Morocco,135,91,16,28,Northern Africa
Mozambique,147,103,16,28,Sub-Saharan Africa
Myanmar,130,86,16,28,South-eastern Asia
Namibia,136,92,16,28,Sub-Saharan Africa
Nauru,118,79,13,26,Micronesia
Nepal,123,79,16,28,Southern Asia
Netherlands,87,50,11,26,Western Europe
New Caledonia,118,79,13,26,Melanesia
New Zealand,90,61,3,26,Australia and New Zealand
Nicaragua,124,80,16,28,Latin America and the Caribbean
Niger,147,103,16,28,Sub-Saharan Africa
Nigeria,233,189,16,28,Sub-Saharan Africa
North Macedonia,127,83,16,28,Southern Europe
Northern Mariana Islands,118,79,13,26,Micronesia
Norway,98,79,14,5,Northern Europe
Oman,134,95,13,26,Western Asia
Pakistan,118,74,16,28,Southern Asia
Palau,118,79,13,26,Micronesia
Panama,113,74,13,26,Latin America and the Caribbean
Papua New Guinea,135,91,16,28,Melanesia
Paraguay,116,72,16,28,Latin America and the Caribbean
